"Data_source","x","y","dsid","type","AUPRC_label"
"cGAN",0.467,0.933377748167888,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.468,0.933510638297872,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.469,0.93364299933643,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.47,0.933774834437086,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.471,0.933906146728354,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.472,0.934036939313984,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.473,0.934167215273206,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.474,0.934296977660972,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.475,0.934426229508197,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.476,0.934554973821989,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.477,0.934683213585892,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.478,0.934810951760104,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.479,0.934938191281718,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.48,0.935064935064935,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.481,0.935191186001296,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.482,0.935316946959897,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.483,0.935442220787605,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.484,0.935567010309278,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.485,0.935691318327974,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.486,0.93581514762516,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.487,0.935938500960922,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.488,0.936061381074169,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.489,0.936183790682833,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.49,0.936305732484076,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.491,0.936427209154482,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.492,0.936548223350254,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.493,0.93666877770741,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.494,0.936788874841972,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.495,0.936908517350158,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.496,0.937027707808564,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.497,0.937146448774356,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.498,0.937264742785445,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.499,0.937382592360676,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.5,0.9375,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.501,0.937616968184654,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.502,0.937733499377335,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.503,0.937849596022374,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.504,0.937965260545906,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.505,0.938080495356037,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.506,0.938195302843016,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.507,0.938309685379395,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.508,0.938423645320197,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.509,0.938537185003073,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.51,0.938650306748466,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.511,0.938763012859767,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.512,0.938875305623472,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.513,0.938987187309335,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.514,0.939098660170524,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.515,0.939209726443769,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.516,0.939320388349515,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.517,0.939430648092066,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.518,0.939540507859734,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.519,0.939649969824985,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.52,0.939759036144578,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.521,0.939867708959711,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.522,0.939975990396158,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.523,0.94008388256441,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.524,0.940191387559809,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.525,0.940298507462687,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.526,0.940405244338498,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.527,0.940511600237954,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.528,0.94061757719715,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.529,0.9407231772377,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.53,0.940828402366864,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.531,0.940933254577673,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.532,0.941037735849057,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.533,0.941141848145968,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.533333333333333,0.941176470588235,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.534,0.941245593419506,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.535,0.941348973607038,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.536,0.941451990632319,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.537,0.941554646405611,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.538,0.941656942823804,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.539,0.94175888177053,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
"cGAN",0.54,0.941860465116279,"1","Precision-Recall Curve","cGAN (AUPRC=0.890)"
