"MetaName","Method","Predictor","Estimate","Std..Error","t.value","P","Bonferroni","Bonferroni_observedData"
"Gly","LEOPARD","age",-0.0100197294838273,0.00390323998676517,-2.56702880627414,0.0106078153667961,FALSE,FALSE
"Gly","mice","age",-0.00388979345466372,0.00398479518660664,-0.976158942305934,0.329555742205507,FALSE,FALSE
"Gly","cGAN","age",-0.00135764160712669,0.00401832227806723,-0.337862797749438,0.735637834602008,FALSE,FALSE
"Tyr","mice","age",0.00125746664261891,0.00403587624557214,0.3115721509049,0.755522540601234,FALSE,FALSE
"Tyr","LEOPARD","age",0.00907501319865823,0.00368253687886677,2.46433735687418,0.0141319939953938,FALSE,FALSE
"Tyr","missForest","age",0.000680123907588937,0.00402999702746071,0.168765362096925,0.86606362604341,FALSE,FALSE
"Tyr","cGAN","age",0.00925108744517756,0.0040206014699791,2.30092127117131,0.0218922253286362,FALSE,FALSE
"Met","missForest","age",0.00239417427043479,0.00404389021914368,0.59204729621512,0.554142097981369,FALSE,FALSE
"Met","cGAN","age",0.000819006781087737,0.00404128318418619,0.202660081899869,0.839500283291838,FALSE,FALSE
"Met","mice","age",-0.00516403558301096,0.00403744153564277,-1.27903662193559,0.201600600633249,FALSE,FALSE
"Met","LEOPARD","age",0.00864842742005783,0.00388796178721599,2.22441163092054,0.0266593020664243,FALSE,FALSE
"Pro","cGAN","age",0.00284726857164065,0.00404457942512711,0.70397148191772,0.481846292205158,FALSE,FALSE
"Pro","missForest","age",-0.00706830122183634,0.0039241047019247,-1.80125194375407,0.0723906932166122,FALSE,FALSE
"Pro","mice","age",0.00417192232654473,0.00400724211472635,1.04109564810501,0.298438751588516,FALSE,FALSE
"Pro","LEOPARD","age",0.00620241454849475,0.00366917431246998,1.69041152594341,0.091701963951781,FALSE,FALSE
"SM C20:2","LEOPARD","age",-0.00305477094184074,0.00368641411382615,-0.828656479580961,0.407776291515564,FALSE,FALSE
"SM C20:2","cGAN","age",0.0020295472883063,0.00381616094652414,0.531829583905487,0.595129290121603,FALSE,FALSE
"SM C20:2","missForest","age",0.0068405934903722,0.00385801327741665,1.77308707837126,0.0769494542459697,FALSE,FALSE
"SM C20:2","mice","age",0.00117701681641144,0.00390248039416776,0.301607361864133,0.763102834695146,FALSE,FALSE
"Ser","mice","age",-0.00773345639089541,0.00402772166563855,-1.92005730109689,0.0555374544705138,FALSE,FALSE
"Ser","LEOPARD","age",-0.00255453844812931,0.00398779894161086,-0.640588576689228,0.522144422587576,FALSE,FALSE
"Ser","cGAN","age",-0.00140814604626746,0.00398023636910513,-0.353784528275152,0.723680467709932,FALSE,FALSE
"Ser","missForest","age",-0.00659722820659306,0.00403231081267065,-1.6360911926389,0.102580462017411,FALSE,FALSE
"Arg","LEOPARD","age",0.00179005917091405,0.00403293055207286,0.443860648677421,0.657375230604127,FALSE,FALSE
"Arg","cGAN","age",0.00299271426684191,0.0040339074760236,0.741889665201733,0.458574853443832,FALSE,FALSE
"Arg","missForest","age",9.84027720747744e-05,0.00390622147438968,0.0251912936119807,0.97991451914286,FALSE,FALSE
"Arg","mice","age",-0.0038518191190255,0.00403750837182896,-0.954008949158079,0.340635796795854,FALSE,FALSE
