"method","obsNum","PB","dataset"
"missForest","obsNum=50",0.292474747474748,"KORA metabolomics"
"missForest","obsNum=50",0.579086161879896,"KORA metabolomics"
"missForest","obsNum=50",0.220476190476191,"KORA metabolomics"
"missForest","obsNum=50",0.363035714285715,"KORA metabolomics"
"missForest","obsNum=50",0.204304635761589,"KORA metabolomics"
"missForest","obsNum=50",0.239999999999999,"KORA metabolomics"
"missForest","obsNum=50",0.19774647887324,"KORA metabolomics"
"missForest","obsNum=50",0.195056818181818,"KORA metabolomics"
"missForest","obsNum=50",0.233488372093023,"KORA metabolomics"
"missForest","obsNum=50",0.137454545454545,"KORA metabolomics"
"missForest","obsNum=50",0.163304093567252,"KORA metabolomics"
"missForest","obsNum=50",0.465341365461848,"KORA metabolomics"
"missForest","obsNum=50",0.266467065868263,"KORA metabolomics"
"missForest","obsNum=50",0.175324840764331,"KORA metabolomics"
"missForest","obsNum=50",0.202201923076923,"KORA metabolomics"
"missForest","obsNum=50",0.146969230769231,"KORA metabolomics"
"missForest","obsNum=50",0.279803921568627,"KORA metabolomics"
"missForest","obsNum=50",0.401013824884793,"KORA metabolomics"
"missForest","obsNum=50",0.171603229527105,"KORA metabolomics"
"missForest","obsNum=50",0.162881773399015,"KORA metabolomics"
"missForest","obsNum=50",0.189125683060109,"KORA metabolomics"
"missForest","obsNum=50",0.130481981981981,"KORA metabolomics"
"missForest","obsNum=50",0.1862875,"KORA metabolomics"
"missForest","obsNum=50",0.12376724137931,"KORA metabolomics"
"missForest","obsNum=50",0.152428571428572,"KORA metabolomics"
"missForest","obsNum=50",0.135383333333333,"KORA metabolomics"
"missForest","obsNum=50",0.150020661157025,"KORA metabolomics"
"missForest","obsNum=50",0.330209030100334,"KORA metabolomics"
"missForest","obsNum=50",0.143880126182965,"KORA metabolomics"
"missForest","obsNum=50",0.158956926658906,"KORA metabolomics"
"LEOPARD","obsNum=50",0.14863257,"KORA metabolomics"
"LEOPARD","obsNum=50",0.22201195,"KORA metabolomics"
"LEOPARD","obsNum=50",0.19070622,"KORA metabolomics"
"LEOPARD","obsNum=50",0.23825455,"KORA metabolomics"
"LEOPARD","obsNum=50",0.21203756,"KORA metabolomics"
"LEOPARD","obsNum=50",0.30165434,"KORA metabolomics"
"LEOPARD","obsNum=50",0.24583171,"KORA metabolomics"
"LEOPARD","obsNum=50",0.29550508,"KORA metabolomics"
"LEOPARD","obsNum=50",0.18783206,"KORA metabolomics"
"LEOPARD","obsNum=50",0.27550223,"KORA metabolomics"
"LEOPARD","obsNum=50",0.16552652,"KORA metabolomics"
"LEOPARD","obsNum=50",0.2248768,"KORA metabolomics"
"LEOPARD","obsNum=50",0.17078862,"KORA metabolomics"
"LEOPARD","obsNum=50",0.1824414,"KORA metabolomics"
"LEOPARD","obsNum=50",0.18072261,"KORA metabolomics"
"LEOPARD","obsNum=50",0.12858257,"KORA metabolomics"
"LEOPARD","obsNum=50",0.16892336,"KORA metabolomics"
"LEOPARD","obsNum=50",0.16234894,"KORA metabolomics"
"LEOPARD","obsNum=50",0.1434393,"KORA metabolomics"
"LEOPARD","obsNum=50",0.16509502,"KORA metabolomics"
"LEOPARD","obsNum=50",0.14741272,"KORA metabolomics"
"LEOPARD","obsNum=50",0.15515389,"KORA metabolomics"
"LEOPARD","obsNum=50",0.14591803,"KORA metabolomics"
"LEOPARD","obsNum=50",0.1576646,"KORA metabolomics"
"LEOPARD","obsNum=50",0.11064116,"KORA metabolomics"
"LEOPARD","obsNum=50",0.12004729,"KORA metabolomics"
"LEOPARD","obsNum=50",0.1480667,"KORA metabolomics"
"LEOPARD","obsNum=50",0.117011175,"KORA metabolomics"
"LEOPARD","obsNum=50",0.17126435,"KORA metabolomics"
"LEOPARD","obsNum=50",0.08742831,"KORA metabolomics"
"LEOPARD","obsNum=50",0.11236059,"KORA metabolomics"
"LEOPARD","obsNum=50",0.121774204,"KORA metabolomics"
