"completion_task","observed_timepoint","obsNum","PB"
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","200",0.27825195
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","200",0.12024964
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","200",0.18492791
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","200",0.18000644
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","200",0.18489219
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","200",0.22078471
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","200",0.16705626
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","200",0.20868126
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","200",0.19704854
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","200",0.13025112
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","200",0.10906609
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","200",0.115258396
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","200",0.08938266
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","200",0.13625465
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","200",0.089971974
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","200",0.103461444
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","200",0.13062142
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","200",0.13395259
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","200",0.21504648
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","200",0.1238353
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","200",0.10388253
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","200",0.13897786
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","200",0.155592
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","200",0.18942706
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","200",0.24255091
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","200",0.20297676
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","200",0.1629053
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","200",0.17867424
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","200",0.16606818
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","200",0.13483714
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","50",0.13548666
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","50",0.2684926
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","50",0.28061134
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","50",0.21148686
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","50",0.21605241
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","50",0.2528068
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","50",0.14071667
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","50",0.20115735
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","50",0.1834535
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","50",0.22565706
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","50",0.20590062
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","50",0.17212209
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","50",0.21100752
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","50",0.23069465
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","50",0.13414489
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","50",0.10724766
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","50",0.11630659
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","50",0.12628308
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","50",0.18037641
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","50",0.086471885
"complete view 2 at timepoint 1","timepoints 2 and 3 observed","50",0.11324663
